60;62.1904;64.7979;6;62.7272;-0.921198;32;tak;-nan(ind);-nan(ind);7;nie;
-15;-4.49078;8.01939;10;-0.000808137;1.30617e-11;36;nie;-1.7643;6.22551e-05;26;nie;
-97;13.4436;144.916;16;62.7258;-0.921198;44;tak;-nan(ind);-nan(ind);4;nie;
66;61.2021;63.8096;7;62.7269;-0.921198;32;tak;62.7229;-0.920465;10;tak;
69;58.4908;64.2021;9;62.7268;-0.921198;34;tak;-nan(ind);-nan(ind);4;nie;
91;56.9313;75.4464;12;62.7264;-0.921198;38;tak;59.2351;-0.754124;25;tak;
-19;-8.49078;4.01939;10;-0.000881905;1.55551e-11;36;nie;-nan(ind);-nan(ind);4;nie;
56;60.7979;66.5092;8;62.7267;-0.921198;34;tak;61.7985;-0.908356;23;tak;
87;52.9313;71.4464;12;62.7267;-0.921198;38;tak;62.3619;-0.916864;16;tak;
-90;-39.5783;20.4436;14;-0.000759006;1.15218e-11;42;nie;-nan(ind);-nan(ind);4;nie;
-8;-3.20215;2.50922;8;-0.000178504;6.37263e-13;34;nie;8.50751e-13;2.40078e-06;11;nie;
58;61.2418;65.1008;7;62.7269;-0.921198;34;tak;62.2823;-0.918235;23;tak;
-44;-9.93131;30.6241;13;-0.000270573;1.46419e-12;40;nie;-9.93128;0.00214095;22;nie;
-9;-1.89918;6.55364;9;4.98657e-05;4.97243e-14;36;nie;-1.89916;0.00010832;17;nie;
84;49.9313;68.4464;12;62.7274;-0.921198;38;tak;61.6502;-0.75007;9;tak;
40;-10.4217;16.9806;13;0.000207889;8.64353e-13;40;nie;-3.27927;0.000215099;25;nie;
-40;-16.9806;10.4217;12;-0.000207889;8.64353e-13;40;nie;8.27836e-10;0.000215099;7;nie;
44;-30.6241;9.93131;14;0.000270573;1.46419e-12;40;nie;-nan(ind);-nan(ind);4;nie;
-7;-2.20215;3.50922;8;-0.000110319;2.43398e-13;34;nie;-0.653497;8.54213e-06;25;nie;
-26;-10.4464;8.06869;11;0.000281957;1.58999e-12;38;nie;1.14891e-10;2.82666e-05;11;nie;
18;-5.01939;7.49078;11;-0.000523653;5.48423e-12;36;nie;-1.23567;3.05391e-05;27;nie;
6;-4.50922;1.20215;9;4.29898e-05;3.6955e-14;34;nie;-nan(ind);-nan(ind);4;nie;
51;58.1008;66.5536;9;62.7264;-0.921198;36;tak;62.6605;-0.918804;12;tak;
20;-14.0687;4.44636;12;-0.000566544;6.41942e-12;38;nie;-nan(ind);-nan(ind);4;nie;
12;-3.55364;4.89918;10;-8.19506e-05;1.3431e-13;36;nie;-0.672724;9.05239e-06;25;nie;
-2;-0.52;1.24179;5;0.000219338;9.62174e-13;32;nie;-0.360882;2.60492e-06;20;nie;
-61;-26.9313;13.6241;13;-0.000492887;4.85875e-12;40;nie;-nan(ind);-nan(ind);4;nie;
82;47.9313;66.4464;12;62.7268;-0.921198;38;tak;-nan(ind);-nan(ind);4;nie;
-56;-21.9313;18.6241;13;0.000784867;1.23203e-11;40;nie;-6.89955e-07;5.46895e-05;12;nie;
70;59.4908;65.2021;9;62.7269;-0.921198;34;tak;62.6983;-0.919028;11;tak;
-18;-7.49078;5.01939;10;0.000523653;5.48423e-12;36;nie;7.73783e-12;3.05391e-05;9;nie;
79;55.9806;68.4908;11;62.7267;-0.921198;36;tak;62.5611;-0.917584;13;tak;
-69;-18.5783;41.4436;14;-0.000166744;5.56065e-13;42;nie;-11.4326;0.0026141;27;nie;
-71;-20.5783;39.4436;14;7.60817e-05;1.15761e-13;42;nie;-9.43263;0.00177949;28;nie;
-99;11.4436;142.916;16;62.7276;-0.921198;44;tak;-nan(ind);-nan(ind);4;nie;
12;-3.55364;4.89918;10;-8.19506e-05;1.3431e-13;36;nie;-0.672724;9.05239e-06;25;nie;
7;-3.50922;2.20215;9;0.000110319;2.43398e-13;34;nie;6.89212e-13;8.54213e-06;8;nie;
-11;-3.89918;4.55364;9;0.000487431;4.75177e-12;36;nie;-0.327097;2.14159e-06;24;nie;
13;-2.55364;5.89918;10;0.000324013;2.09968e-12;36;nie;-1.67275;5.59632e-05;22;nie;
28;-6.06869;12.4464;12;0.0003766;2.83655e-12;38;nie;-3.18882;0.000203373;24;nie;
-45;-10.9313;29.6241;13;0.000389812;3.03907e-12;40;nie;-9.34636;0.00174709;24;nie;
-40;-16.9806;10.4217;12;-0.000207889;8.64353e-13;40;nie;8.27836e-10;0.000215099;7;nie;
71;60.4908;66.2021;9;62.727;-0.921198;34;tak;62.1066;-0.915443;25;tak;
71;60.4908;66.2021;9;62.727;-0.921198;34;tak;62.1066;-0.915443;25;tak;
-67;-16.5783;43.4436;14;-0.00040957;3.35494e-12;42;nie;-13.4325;0.00360871;23;nie;
41;-9.42166;17.9806;13;0.000723368;1.04652e-11;40;nie;-4.27941;0.000366278;25;nie;
75;59.4464;67.8992;10;62.7275;-0.921198;36;tak;61.7791;-0.90782;25;tak;
80;56.9806;69.4908;11;62.7262;-0.921198;36;tak;62.2177;-0.917315;27;tak;
-93;17.4436;148.916;16;62.7279;-0.921198;44;tak;-nan(ind);-nan(ind);4;nie;
-72;-21.5783;38.4436;14;-0.000849753;1.44416e-11;42;nie;-8.43261;0.00142219;28;nie;
-32;-8.98061;18.4217;12;-0.000725857;1.05374e-11;40;nie;-4.7205;0.000445667;26;nie;
